Plate,Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
1,D3,AH29,D,UNKNOWN,FAM,NFQ-MGB,27.27779198,26.92132187,0.504123509,,,,FALSE,0.02,TRUE,3,25,,Y,N,Y
1,D4,AH29,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,D4,AH29,D,UNKNOWN,FAM,NFQ-MGB,26.56485367,26.92132187,0.504123509,,,,FALSE,0.02,TRUE,3,25,,Y,N,Y
1,D5,AH30,C,UNKNOWN,VIC,NFQ-MGB,26.3641777,26.36063766,0.00500772,,,,FALSE,0.02,TRUE,3,25,,N,N,Y
1,D5,AH30,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.60113525,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,D6,AH30,C,UNKNOWN,VIC,NFQ-MGB,26.35709572,26.36063766,0.00500772,,,,FALSE,0.02,TRUE,3,25,,N,N,N
1,D6,AH30,D,UNKNOWN,FAM,NFQ-MGB,39.60113525,39.60113525,,,,,FALSE,0.02,TRUE,3,35,,N,N,N
1,D7,AH31,C,UNKNOWN,VIC,NFQ-MGB,28.99388313,28.79194641,0.285580307,,,,FALSE,0.02,TRUE,3,27,,N,N,N
1,D7,AH31,D,UNKNOWN,FAM,NFQ-MGB,27.02491188,26.88527679,0.19747518,,,,FALSE,0.02,TRUE,3,24,,N,N,N
1,D8,AH31,C,UNKNOWN,VIC,NFQ-MGB,28.5900116,28.79194641,0.285580307,,,,FALSE,0.02,TRUE,3,27,,N,N,N
1,D8,AH31,D,UNKNOWN,FAM,NFQ-MGB,26.7456398,26.88527679,0.19747518,,,,FALSE,0.02,TRUE,3,25,,N,N,N
1,D9,AH32,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,D9,AH32,D,UNKNOWN,FAM,NFQ-MGB,27.37419701,27.61422729,0.339455426,,,,FALSE,0.02,TRUE,3,25,,N,N,Y
1,D10,AH32,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,D10,AH32,D,UNKNOWN,FAM,NFQ-MGB,27.85425949,27.61422729,0.339455426,,,,FALSE,0.02,TRUE,3,26,,N,N,Y
1,D11,AH33,C,UNKNOWN,VIC,NFQ-MGB,25.82136345,26.52596664,0.996459424,,,,FALSE,0.02,TRUE,3,24,,Y,N,Y
1,D11,AH33,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,D12,AH33,C,UNKNOWN,VIC,NFQ-MGB,27.23056984,26.52596664,0.996459424,,,,FALSE,0.02,TRUE,3,26,,Y,N,Y
1,D12,AH33,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,E1,AH34,C,UNKNOWN,VIC,NFQ-MGB,24.93575859,24.93575859,,,,,FALSE,0.02,TRUE,3,23,,N,N,N
1,E1,AH34,D,UNKNOWN,FAM,NFQ-MGB,30.79791069,30.79791069,,,,,FALSE,0.02,TRUE,3,29,,N,N,N
1,E2,AH34,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,24.93575859,,,,,FALSE,0.02,TRUE,3,39,,N,Y,Y
1,E2,AH34,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,30.79791069,,,,,FALSE,0.02,TRUE,3,39,,N,Y,Y
1,E3,AH35,C,UNKNOWN,VIC,NFQ-MGB,26.50567818,26.5109024,0.007386825,,,,FALSE,0.02,TRUE,3,25,,N,N,N
1,E3,AH35,D,UNKNOWN,FAM,NFQ-MGB,30.09431458,30.17481232,0.113842346,,,,FALSE,0.02,TRUE,3,28,,N,N,N
1,E4,AH35,C,UNKNOWN,VIC,NFQ-MGB,26.51612473,26.5109024,0.007386825,,,,FALSE,0.02,TRUE,3,25,,N,N,N
1,E4,AH35,D,UNKNOWN,FAM,NFQ-MGB,30.25531197,30.17481232,0.113842346,,,,FALSE,0.02,TRUE,3,28,,N,N,N
1,E5,AH36,C,UNKNOWN,VIC,NFQ-MGB,25.83036995,25.67737198,0.21637316,,,,FALSE,0.02,TRUE,3,24,,N,N,Y
1,E5,AH36,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,E6,AH36,C,UNKNOWN,VIC,NFQ-MGB,25.5243721,25.67737198,0.21637316,,,,FALSE,0.02,TRUE,3,24,,N,N,Y
1,E6,AH36,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,E7,AH38,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,E7,AH38,D,UNKNOWN,FAM,NFQ-MGB,27.95448685,27.58233261,0.526304245,,,,FALSE,0.02,TRUE,3,26,,Y,N,Y
1,E8,AH38,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,E8,AH38,D,UNKNOWN,FAM,NFQ-MGB,27.21018028,27.58233261,0.526304245,,,,FALSE,0.02,TRUE,3,25,,Y,N,Y
1,E9,AH39,C,UNKNOWN,VIC,NFQ-MGB,28.69943237,29.78965759,1.541809916,,,,FALSE,0.02,TRUE,3,27,,Y,N,Y
1,E9,AH39,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,E10,AH39,C,UNKNOWN,VIC,NFQ-MGB,30.87988091,29.78965759,1.541809916,,,,FALSE,0.02,TRUE,3,28,,Y,N,Y
1,E10,AH39,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,E11,AH40,C,UNKNOWN,VIC,NFQ-MGB,39.70732117,39.45484924,0.357051909,,,,FALSE,0.02,TRUE,3,37,,N,N,Y
1,E11,AH40,D,UNKNOWN,FAM,NFQ-MGB,26.71820068,26.85330772,0.191070214,,,,FALSE,0.02,TRUE,3,25,,N,N,Y
1,E12,AH40,C,UNKNOWN,VIC,NFQ-MGB,39.2023735,39.45484924,0.357051909,,,,FALSE,0.02,TRUE,3,35,,N,N,N
1,E12,AH40,D,UNKNOWN,FAM,NFQ-MGB,26.98841476,26.85330772,0.191070214,,,,FALSE,0.02,TRUE,3,25,,N,N,N
